rainfall,temperature,humidity,soil_ph,nitrogen,phosphorus,potassium,crop_type_code,season_code,area_hectares,yield_quintal_per_hectare
1200,27,70,6.5,60,45,45,0,0,2,45.5
650,22,60,6.8,45,38,40,1,1,1.5,38.2
400,35,45,7.8,30,25,30,3,0,3,22.8
850,28,65,6.2,55,42,43,0,0,2.5,42.3
720,24,62,6.9,48,40,41,1,1,1.8,36.7
950,26,68,6.4,58,44,44,0,0,2.2,44.1
550,30,55,7.2,35,30,32,2,2,1.2,28.5
1100,27,72,6.3,62,46,47,0,0,2.8,48.2
450,32,48,7.5,32,28,31,3,0,2.5,24.3
780,23,61,6.7,50,39,40,1,1,1.6,37.8
1050,28,69,6.5,59,45,45,0,0,2.3,46.5
600,29,58,7.0,40,35,36,2,2,1.4,31.2
920,25,66,6.6,56,43,42,0,0,2.1,43.8
380,34,42,7.9,28,24,28,3,0,2.8,21.5
700,21,59,6.9,46,37,39,1,1,1.7,35.9
1150,27,71,6.4,61,46,46,0,0,2.6,47.8
520,31,52,7.3,34,29,30,2,2,1.1,27.3
880,26,64,6.5,54,41,41,0,0,2.0,41.7
420,33,46,7.6,30,26,29,3,0,2.6,23.1
750,22,60,6.8,49,39,40,1,1,1.5,36.9
980,28,67,6.3,57,44,43,0,0,2.4,45.2
570,30,56,7.1,38,33,34,2,2,1.3,29.8
1000,25,68,6.5,58,45,44,0,0,2.2,44.9
460,32,49,7.7,31,27,30,3,0,2.7,23.8
800,24,62,6.7,51,40,41,1,1,1.8,38.5
1080,29,70,6.4,60,46,47,0,0,2.5,47.3
620,28,57,7.0,41,36,37,2,2,1.5,32.4
950,26,65,6.6,55,42,42,0,0,2.1,42.9
400,35,44,7.8,29,25,28,3,0,2.9,22.2
730,23,61,6.8,47,38,39,1,1,1.6,36.3
